Species,Species.standard,Family,Species.group
Acanthogorgia sp.,Acanthogorgia.sp,Acanthogorgiidae,Coral
Acanthogorgiidae,Acanthogorgiidae,Acanthogorgiidae,Coral
PoacherEelpoutSculpinSnailfish unid.,Actinopterygii,Fish,Fish
Alaska skate,Alaska.skate,Fish,Fish
Bathyraja parmifera,Alaska.skate,Fish,Fish
Alaskagorgia aleutiana,Alaskagorgia.aleutiana,Plexauridae,Coral
Aleutian Skate,Aleutian.skate,Fish,Fish
Aleutian skate,Aleutian.skate,Fish,Fish
Anemone,Anemone,Anemone,Anemone
Unid. Anthozoa,Anemone,Anemone,Anemone
Antipatharia (order) unidentified,Antipatharia,Antipatharia,Coral
Black coral,Antipatharia,Antipatharia,Coral
arrowtooth flounder,Arrowtooth.Flounder,Fish,Fish
Arrowtooth Flounder,Arrowtooth.Flounder,Fish,Fish
Arrowtooth flounder,Arrowtooth.Flounder,Fish,Fish
ATF,Arrowtooth.Flounder,Fish,Fish
Atheresthes stomias,Arrowtooth.Flounder,Fish,Fish
Arthrogorgia,Arthrogorgia.sp,Primnoidae,Coral
Arthrogorgia sp.,Arthrogorgia.sp,Primnoidae,Coral
Arthrogoria sp.,Arthrogorgia.sp,Primnoidae,Coral
Atheresthes sp.,Atheresthes.sp,Fish,Fish
Atka,Atka.mackerel,Fish,Fish
Atka Mackeral,Atka.mackerel,Fish,Fish
Atka Mackerel,Atka.mackerel,Fish,Fish
Atka mackerel,Atka.mackerel,Fish,Fish
Pleurogrammus momopterygius,Atka.mackerel,Fish,Fish
Pleurogrammus monopterygius,Atka.mackerel,Fish,Fish
Ball sponge,Demosponge,Demosponge,Sponge
Lycodes beringi,Bering.eelpout,Fish,Fish
Big skate,Big.skate,Fish,Fish
Raja binoculata,Big.skate,Fish,Fish
Bigmouth sculpin,Bigmouth.sculpin,Fish,Fish
Hemitripterus bolini,Bigmouth.sculpin,Fish,Fish
Black Rockfish,Black.rockfish,Fish,Fish
Bathyagonus nigripinnis,Blackfin.poacher,Fish,Fish
blackspotted,Blackspotted.rockfish,Fish,Fish
Blackspotted rockfish,Blackspotted.rockfish,Fish,Fish
Blackspotted Rockfish,Blackspotted.rockfish,Fish,Fish
Sebastes melanostictus,Blackspotted.rockfish,Fish,Fish
Bothrocara sp.,Bothrocara.sp,Fish,Fish
Butterfly skate,Butterfly.skate,Fish,Fish
Calcarea,Calcarea,Calcarea,Sponge
Upright calcarea,Calcarea,Calcarea,Sponge
Upright Calcarea,Calcarea,Calcarea,Sponge
Upright calcarea,Calcarea,Calcarea,Sponge
Calcigorgia,Calcigorgia.sp,Acanthogorgiidae,Coral
Calcigorgia beringi,Calcigorgia.sp,Acanthogorgiidae,Coral
Calcigorgia sp,Calcigorgia.sp,Acanthogorgiidae,Coral
calcigorgia sp,Calcigorgia.sp,Acanthogorgiidae,Coral
Calcigorgia sp.,Calcigorgia.sp,Acanthogorgiidae,Coral
Calcigorgia spiculifera,Calcigorgia.sp,Acanthogorgiidae,Coral
Capelin,Capelin,Fish,Fish
Cephalopoda,Cephalopoda,Cephalopoda,Cephalopoda
Bairdi Tanner Crab,Chionoecetes.sp,Crab,Crab
Chionecetes bairdi,Chionoecetes.sp,Crab,Crab
Chionecetes sp,Chionoecetes.sp,Crab,Crab
Chionecetes sp.,Chionoecetes.sp,Crab,Crab
Chionocetes sp.,Chionoecetes.sp,Crab,Crab
Chionoecetes sp,Chionoecetes.sp,Crab,Crab
Chionoecetes sp.,Chionoecetes.sp,Crab,Crab
Tanner crab,Chionoecetes.sp,Crab,Crab
Tanner Crab,Chionoecetes.sp,Crab,Crab
Tanner Crab Unid.,Chionoecetes.sp,Crab,Crab
Unid. Tanner Crab,Chionoecetes.sp,Crab,Crab
Commander skate,Commander.skate,Fish,Fish
damaged coral,Coral,Coral,Coral
Damaged coral,Coral,Coral,Coral
Crab unid,Crab.unid,Crab,Crab
Crab Unid.,Crab.unid,Crab,Crab
Crab unid.,Crab.unid,Crab,Crab
Decapoda,Crab.unid,Crab,Crab
Oregoniidae,Crab.unid,Crab,Crab
Unid Crab,Crab.unid,Crab,Crab
Unid. Crab,Crab.unid,Crab,Crab
Arthrogorgia sp. down,Damaged.coral,Primnoidae,Coral
Dark Rockfish,Dark.rockfish,Fish,Fish
Dark rockfish,Dark.rockfish,Fish,Fish
Sebastes ciliatus,Dark.rockfish,Fish,Fish
Bathyraja maculata,Darkfin.sculpin,Fish,Fish
Darkfin Sculpin,Darkfin.sculpin,Fish,Fish
Darkfin sculpin,Darkfin.sculpin,Fish,Fish
Malacocottus sp.,Darkfin.sculpin,Fish,Fish
Malacocottus zonerus,Darkfin.sculpin,Fish,Fish
Malacocottus zonorus,Darkfin.sculpin,Fish,Fish
Malococottus zonerus,Darkfin.sculpin,Fish,Fish
Deep sea sole,Deep.sea.sole,Fish,Fish
Asbestopluma ramosa,Demosponge,Demosponge,Sponge
Axinella blanca,Demosponge,Demosponge,Sponge
Chondrocladia,Demosponge,Demosponge,Sponge
Chondrocladia concrescens,Demosponge,Demosponge,Sponge
Chondrocladia sp,Demosponge,Demosponge,Sponge
Cladorhiza sp,Demosponge,Demosponge,Sponge
Cladorhiza sp.,Demosponge,Demosponge,Sponge
Damaged demosponge,Demosponge,Demosponge,Sponge
Demosponge,Demosponge,Demosponge,Sponge
demosponge,Demosponge,Demosponge,Sponge
Demosponge sp.,Demosponge,Demosponge,Sponge
Demosponge unid,Demosponge,Demosponge,Sponge
Demosponge unidentified,Demosponge,Demosponge,Sponge
Demospongiae,Demosponge,Demosponge,Sponge
Horizantal Demosponge,Demosponge,Demosponge,Sponge
Small demosponge,Demosponge,Demosponge,Sponge
Upright Demosponge,Demosponge,Demosponge,Sponge
Upright demosponge,Demosponge,Demosponge,Sponge
Dover,Dover.sole,Fish,Fish
Dover sole,Dover.sole,Fish,Fish
Dover Sole,Dover.sole,Fish,Fish
Microstomus pacificus,Dover.sole,Fish,Fish
Dusky,Dusky.rockfish,Fish,Fish
Dusky rockfish,Dusky.rockfish,Fish,Fish
Dusky Rockfish,Dusky.rockfish,Fish,Fish
Sebastes variabilis,Dusky.rockfish,Fish,Fish
Black Eelpout,Eelpout.unid,Fish,Fish
Eelpout,Eelpout.unid,Fish,Fish
eelpout,Eelpout.unid,Fish,Fish
Eelpout unid,Eelpout.unid,Fish,Fish
Eelpout unid.,Eelpout.unid,Fish,Fish
Lycodes diapterus,Eelpout.unid,Fish,Fish
Lycodes sp.,Eelpout.unid,Fish,Fish
Unid. Eelpout,Eelpout.unid,Fish,Fish
Unid. Zoarcidae,Eelpout.unid,Fish,Fish
Zoarcidae,Eelpout.unid,Fish,Fish
Fanellia,Fanellia.sp,Primnoidae,Coral
Fanellia compressa,Fanellia.sp,Primnoidae,Coral
Fanellia sp.,Fanellia.sp,Primnoidae,Coral
Faniella sp.,Fanellia.sp,Primnoidae,Coral
fish unid,Fish.unid,Fish,Fish
Fish unid,Fish.unid,Fish,Fish
Fish unid.,Fish.unid,Fish,Fish
fish unid.,Fish.unid,Fish,Fish
Fish Unid.,Fish.unid,Fish,Fish
roundfish unid,Fish.unid,Fish,Fish
roundfish unid.,Fish.unid,Fish,Fish
Unid Fish,Fish.unid,Fish,Fish
Unid. Fish,Fish.unid,Fish,Fish
Unid. Roundfish,Fish.unid,Fish,Fish
flatfish,Flatfish.unid,Fish,Fish
Flatfish unid,Flatfish.unid,Fish,Fish
flatfish unid,Flatfish.unid,Fish,Fish
Flatfish unid.,Flatfish.unid,Fish,Fish
flatfish unid.,Flatfish.unid,Fish,Fish
Flatfish sp.,Flatfish.unid,Fish,Fish
Pleuronectidae,Flatfish.unid,Fish,Fish
Unid. Flatfish,Flatfish.unid,Fish,Fish
FHS,Flathead.sole,Fish,Fish
Flathead Sole,Flathead.sole,Fish,Fish
Flathead sole,Flathead.sole,Fish,Fish
Hippoglossidae,Flathead.sole,Fish,Fish
Hippoglossoides elassodon,Flathead.sole,Fish,Fish
gadid unid.,Gadus.sp,Fish,Fish
Gadid unid.,Gadus.sp,Fish,Fish
Gadidae,Gadus.sp,Fish,Fish
Gadiid,Gadus.sp,Fish,Fish
Gadiidae,Gadus.sp,Fish,Fish
Gadus sp.,Gadus.sp,Fish,Fish
Unid. Gadiid,Gadus.sp,Fish,Fish
Unid. Gadoid,Gadus.sp,Fish,Fish
Gadid sp.,Gadus.sp,Fish,Fish
Garbage,Garbage,Other,Other
"Garbage, crab pot escape port",Garbage,Other,Other
Albatrossia pectoralis,Giant.grenadier,Fish,Fish
Albatrossia pectoralis (giant grenadier),Giant.grenadier,Fish,Fish
Giant grenadier,Giant.grenadier,Fish,Fish
Golden King Crab,Golden.king.crab,Crab,Crab
Golden king crab,Golden.king.crab,Crab,Crab
Alcyonacea Unid.,Gorgonacea,Gorgonacea,Coral
Gorgonacea,Gorgonacea,Gorgonacea,Coral
Octocorallia,Gorgonacea,Gorgonacea,Coral
Plexauridae/Isidiidae,Gorgonacea,Gorgonacea,Coral
Unid Gorgonian,Gorgonacea,Gorgonacea,Coral
Unid. Gorgonian,Gorgonacea,Gorgonacea,Coral
Unid. Octocoral,Gorgonacea,Gorgonacea,Coral
Gorgonocephalus eucnemis,Gorgonocephalus eucnemis,Gorgonocephalidae,Basket star
Great Sculpin,Great.sculpin,Fish,Fish
great sculpin,Great.sculpin,Fish,Fish
Great sculpin,Great.sculpin,Fish,Fish
Greenland turbot,Greenland.turbot,Fish,Fish
Greenling,Greenling.unid,Fish,Fish
greenling,Greenling.unid,Fish,Fish
Greenling unid.,Greenling.unid,Fish,Fish
Hexagrammidae,Greenling.unid,Fish,Fish
Unid. Greenling,Greenling.unid,Fish,Fish
Greenling sp.,Greenling.unid,Fish,Fish
Grenadier sp.,Grenadier.unid,Fish,Fish
Grenadier unid,Grenadier.unid,Fish,Fish
Grenadier unid.,Grenadier.unid,Fish,Fish
Macrouridae,Grenadier.unid,Fish,Fish
Pacific grenadier,Grenadier.unid,Fish,Fish
Damaged halipteris,Halipteris.sp,Pennatulidae,SeaWhipPen
Damaged Halipteris,Halipteris.sp,Pennatulidae,SeaWhipPen
Dead/Damaged Sea Whip,Halipteris.sp,Pennatulidae,SeaWhipPen
Dead/Damaged sea whip,Halipteris.sp,Pennatulidae,SeaWhipPen
Dead/Damaged Sea whip,Halipteris.sp,Pennatulidae,SeaWhipPen
Halipteris sp,Halipteris.sp,Pennatulidae,SeaWhipPen
Halipteris sp.,Halipteris.sp,Pennatulidae,SeaWhipPen
Halipteris willemoesi,Halipteris.sp,Pennatulidae,SeaWhipPen
Halipterus willemoesi,Halipteris.sp,Pennatulidae,SeaWhipPen
Halipterus willemoesi horizontal,Halipteris.sp,Pennatulidae,SeaWhipPen
Pennatulacea,Halipteris.sp,Pennatulidae,SeaWhipPen
Pennatulacean,Halipteris.sp,Pennatulidae,SeaWhipPen
Protoptilum sp.,Halipteris.sp,Pennatulidae,SeaWhipPen
Sea Whip,Halipteris.sp,Pennatulidae,SeaWhipPen
Sea whip,Halipteris.sp,Pennatulidae,SeaWhipPen
Harlequin,Harlequin.rockfish,Fish,Fish
Harlequin Rockfish,Harlequin.rockfish,Fish,Fish
Harlequin rockfish,Harlequin.rockfish,Fish,Fish
Sebastes variegatus,Harlequin.rockfish,Fish,Fish
HeightOffBottom,HeightOffBottom,Other,Other
Hemilepidotus sp (Irish lord),Hemilepidotus.sp,Fish,Fish
Hemilepidotus sp.,Hemilepidotus.sp,Fish,Fish
Hemilepidotus sp. (Irish lord),Hemilepidotus.sp,Fish,Fish
Elassochirus sp.,Hermit.crab,Fish,Fish
Hermit Crab,Hermit.crab,Crab,Crab
Hermit crab,Hermit.crab,Crab,Crab
Paguridae,Hermit.crab,Crab,Crab
Paguroidea,Hermit.crab,Crab,Crab
Unid. hermit crab,Hermit.crab,Crab,Crab
Clupeidae,Herring,Fish,Fish
Herring,Herring,Fish,Fish
Acanthascus sp.,Hexactinellid,Hexactinellid,Sponge
Farrea (hexact),Hexactinellid,Hexactinellid,Sponge
Hexactinellid,Hexactinellid,Hexactinellid,Sponge
Hexactinellid sp.,Hexactinellid,Hexactinellid,Sponge
Hexactinellid sponge,Hexactinellid,Hexactinellid,Sponge
hexactinellid sponge,Hexactinellid,Hexactinellid,Sponge
Hexactinellid sponge unidentified,Hexactinellid,Hexactinellid,Sponge
Hexactinellidae,Hexactinellid,Hexactinellid,Sponge
Hexactinellida,Hexactinellid,Hexactinellid,Sponge
Upright Hexactinellid,Hexactinellid,Hexactinellid,Sponge
Upright hexactinellid,Hexactinellid,Hexactinellid,Sponge
Hydroid,Hydroid,Hydroid,Hydroid
Irish lord sp.,Irish.lord,Fish,Fish
Bamboo coral,Isididae,Isididae,Coral
Damaged isididae,Isididae,Isididae,Coral
Isididae,Isididae,Isididae,Coral
Isididae sp.,Isididae,Isididae,Coral
Isidiidae,Isididae,Isididae,Coral
Hexagrammos decagrammus,Kelp.greenling,Fish,Fish
kelp greenling,Kelp.greenling,Fish,Fish
Kelp Greenling,Kelp.greenling,Fish,Fish
Kelp greenling,Kelp.greenling,Fish,Fish
King crab,King.crab,Crab,Crab
King crab unid.,King.crab,Crab,Crab
Lithodes aequispinus,King.crab,Crab,Crab
Lithodes sp.,King.crab,Crab,Crab
Lithodidae,King.crab,Crab,Crab
Lithodoidae,King.crab,Crab,Crab
Paralithodes sp.,King.crab,Crab,Crab
Scarlet King Crab,King.crab,Crab,Crab
Leopard skate,Leopard.skate,Fish,Fish
Lingcod,Lingcod,Fish,Fish
Ophiodon elongatus,Lingcod,Fish,Fish
Lithoudes couesi,Lithodes.couesi,Crab,Crab
Longline,Longline,Fish,Longline
Longnose skate,Longnose.skate,Fish,Fish
Cyclopteridae,Lumpsucker,Fish,Fish
Lumpsucker,Lumpsucker,Fish,Fish
Bathyraja taranetzi,Mud.skate,Fish,Fish
Mud Skate,Mud.skate,Fish,Fish
Mud skate,Mud.skate,Fish,Fish
Muriceides nigra,Muriceides.sp,Plexauridae,Coral
Muriceides sp.,Muriceides.sp,Plexauridae,Coral
Myctophidae,Myctophidae,Fish,Fish
None,None,Other,Other
Northern rockfish,Northern.rockfish,Fish,Fish
northern rockfish,Northern.rockfish,Fish,Fish
Northern Rockfish,Northern.rockfish,Fish,Fish
NRF,Northern.rockfish,Fish,Fish
Sebastes polyspinis,Northern.rockfish,Fish,Fish
Nudibranch,Nudibranch,Nudibranch,Nudibranch
Octopus,Octopus,Octopus,Octopus
Octopus unid,Octopus,Octopus,Octopus
OCTOPUS!!!!,Octopus,Octopus,Octopus
Opisthoteuthis sp.,Octopus,Octopus,Octopus
Check ID,Other,Other,Other
check ID,Other,Other,Other
other,Other,Other,Other
Other,Other,Other,Other
cod,Pacific.cod,Fish,Fish
Cod,Pacific.cod,Fish,Fish
Gadus macrocephalus,Pacific.cod,Fish,Fish
Gadus macrocephalus (pcod),Pacific.cod,Fish,Fish
Pcod,Pacific.cod,Fish,Fish
pcod,Pacific.cod,Fish,Fish
Pacific cod,Pacific.cod,Fish,Fish
Halibut,Pacific.Halibut,Fish,Fish
halibut,Pacific.Halibut,Fish,Fish
Hippoglossus stenolepis,Pacific.Halibut,Fish,Fish
Pacific Halibut,Pacific.Halibut,Fish,Fish
POP,Pacific.ocean.perch,Fish,Fish
pop,Pacific.ocean.perch,Fish,Fish
Sebastes alutus,Pacific.ocean.perch,Fish,Fish
Paragorgia,Paragorgia.sp,Paragorgiidae,Coral
Paragorgia arborea,Paragorgia.sp,Paragorgiidae,Coral
Paragorgia sp.,Paragorgia.sp,Paragorgiidae,Coral
Paragorgidae,Paragorgia.sp,Paragorgiidae,Coral
Pennatulacean?,Pennatulacean,Pennatulidae,SeaWhipPen
Pennatulidae,Pennatulacean,Pennatulidae,SeaWhipPen
Unid. Pennatulacea,Pennatulacean,Pennatulidae,SeaWhipPen
Unid. Pennatulacean,Pennatulacean,Pennatulidae,SeaWhipPen
Alaskagorgia/Cryogorgia,Plexauridae,Plexauridae,Coral
Cryogorgia koolsae,Plexauridae,Plexauridae,Coral
Cryogorgia sp.,Plexauridae,Plexauridae,Coral
Plexauridae,Plexauridae,Plexauridae,Coral
Plexauridae (coral),Plexauridae,Plexauridae,Coral
Plexauridae sp.,Plexauridae,Plexauridae,Coral
Plexauridae/Acanthogorgiidae,Plexauridae,Plexauridae,Coral
Plumerella aleutiana,Plumarella.aleutiana,Primnoidae,Coral
Amphilaphis sp.,Plumarella.sp,Primnoidae,Coral
Plumarella sp,Plumarella.sp,Primnoidae,Coral
Plumarella sp.,Plumarella.sp,Primnoidae,Coral
Plumerella sp.,Plumarella.sp,Primnoidae,Coral
Agonidae,Poacher.unid,Fish,Fish
Poacher,Poacher.unid,Fish,Fish
Poacher unid,Poacher.unid,Fish,Fish
Poacher unid.,Poacher.unid,Fish,Fish
Gadus chalcogrammus,Pollock,Fish,Fish
pollock,Pollock,Fish,Fish
Pollock,Pollock,Fish,Fish
Theragra chalcogramma,Pollock,Fish,Fish
Coryphaenoides cinereus,Popeye.grenadier,Fish,Fish
Coryphaenoides cinerus,Popeye.grenadier,Fish,Fish
Popeye grenadier,Popeye.grenadier,Fish,Fish
Porifera,Porifera,Porifera,Sponge
prickleback,Prickleback.unid,Fish,Fish
Prickleback,Prickleback.unid,Fish,Fish
Prickleback unid.,Prickleback.unid,Fish,Fish
Stichaeidae,Prickleback.unid,Fish,Fish
Stichaeidae-Chirolophinae,Prickleback.unid,Fish,Fish
Unid. Prickleback,Prickleback.unid,Fish,Fish
Primnoa pacifica,Primnoa.pacifica,Primnoidae,Coral
Arthrogorgia/Fanellia,Primnoidae,Primnoidae,Coral
Fanellia/Arthrogorgia,Primnoidae,Primnoidae,Coral
Plumarella/Thouarella,Primnoidae,Primnoidae,Coral
Primnoa,Primnoidae,Primnoidae,Coral
primnoa,Primnoidae,Primnoidae,Coral
Primnoa sp,Primnoidae,Primnoidae,Coral
Primnoa sp.,Primnoidae,Primnoidae,Coral
Primnoa unid,Primnoidae,Primnoidae,Coral
Primnoid coral unid,Primnoidae,Primnoidae,Coral
Primnoidae,Primnoidae,Primnoidae,Coral
Prowfish,Prowfish,Fish,Fish
Zapora silenus,Prowfish,Fish,Fish
Zaprora silenus,Prowfish,Fish,Fish
Zaprora silenus (Prowfish),Prowfish,Fish,Fish
Pteropod,Pteropod,Zooplankton,Zooplankton
Pteropod?,Pteropod,Zooplankton,Zooplankton
Ptilosarcus gurneyi,Ptilosarcus.gurneyi,Pennatulidae,SeaWhipPen
Ptilosarcus gurneyii,Ptilosarcus.gurneyi,Pennatulidae,SeaWhipPen
Sea Pen,Ptilosarcus.gurneyi,Pennatulidae,SeaWhipPen
sea pen,Ptilosarcus.gurneyi,Pennatulidae,SeaWhipPen
Sea pen,Ptilosarcus.gurneyi,Pennatulidae,SeaWhipPen
Sea Pens,Ptilosarcus.gurneyi,Pennatulidae,SeaWhipPen
Quillback Rockfish,Quillback.Rockfish,Fish,Fish
Redstripe Rockfish,Redstripe.Rockfish,Fish,Fish
Red Irish Lord,Red.irish.lord,Fish,Fish
Glyptocephalus zachirus,Rex.sole,Fish,Fish
rex,Rex.sole,Fish,Fish
Rex sole,Rex.sole,Fish,Fish
Rex Sole,Rex.sole,Fish,Fish
Rock Greenling,Rock.greenling,Fish,Fish
Lepidopsetta sp.,Rock.sole,Fish,Fish
N. Rock Sole,Rock.sole,Fish,Fish
rock sole,Rock.sole,Fish,Fish
Rock sole,Rock.sole,Fish,Fish
Rock Sole,Rock.sole,Fish,Fish
Unid. Rock Sole,Rock.sole,Fish,Fish
Rosethorn Rockfish,Rosethorn.Rockfish,Fish,Fish
Rosy Rockfish,Rosy.rockfish,Fish,Fish
Rosy rockfish,Rosy.rockfish,Fish,Fish
rougheye,Rougheye.rockfish,Fish,Fish
rougheye rockfish,Rougheye.rockfish,Fish,Fish
Rougheye rockfish,Rougheye.rockfish,Fish,Fish
Sebastes aleutianus,Rougheye.rockfish,Fish,Fish
Anoplopoma fimbria,Sablefish,Fish,Fish
Sablefish,Sablefish,Fish,Fish
Sawback poacher,Sawback.poacher,Fish,Fish
SceneMeasurement,SceneRange,Other,Other
SceneRange,SceneRange,Other,Other
Scissortail sculpin,Scissortail.sculpin,Fish,Fish
Triglops forfecata,Scissortail.sculpin,Fish,Fish
Scorpaenidae,Scorpaenidae,Fish,Fish
Cottidae,Sculpin.unid,Fish,Fish
Cottidae/Psychrolutidae,Sculpin.unid,Fish,Fish
Sculpin,Sculpin.unid,Fish,Fish
sculpin,Sculpin.unid,Fish,Fish
Sculpin sp.,Sculpin.unid,Fish,Fish
Sculpin unid,Sculpin.unid,Fish,Fish
sculpin unid,Sculpin.unid,Fish,Fish
Sculpin unid.,Sculpin.unid,Fish,Fish
Sculpin unidentified,Sculpin.unid,Fish,Fish
Unid. Sculpin,Sculpin.unid,Fish,Fish
Cucumber,Sea.cucumber,Sea cucumber,Sea cucumber
Sea cucumber,Sea.cucumber,Sea cucumber,Sea cucumber
Munida quadrispina,Sea.spider,Sea spider,Sea spider
Pycnogonid,Sea.spider,Sea spider,Sea spider
Pycnogonida,Sea.spider,Sea spider,Sea spider
Sea spider,Sea.spider,Pycnogonida,Pycnogonida
Sea urchin,Sea.urchin,Sea.urchin,Sea.urchin
Bathymaster caeruleofasciatus,Searcher,Fish,Fish
Bathymaster signatus,Searcher,Fish,Fish
Bathymaster sp.,Searcher,Fish,Fish
bathymaster sp.,Searcher,Fish,Fish
Bathymasteridae,Searcher,Fish,Fish
Ronquil,Searcher,Fish,Fish
Ronquil Unid.,Searcher,Fish,Fish
Ronquilus jordani,Searcher,Fish,Fish
searcher,Searcher,Fish,Fish
Searcher,Searcher,Fish,Fish
Starfish,Seastar.unid,Seastar,Seastar
Starfish Unid.,Seastar.unid,Seastar,Seastar
Rockfish,Sebastes.sp,Fish,Fish
rockfish sp.,Sebastes.sp,Fish,Fish
rockfish unid,Sebastes.sp,Fish,Fish
Rockfish unid,Sebastes.sp,Fish,Fish
Rockfish unid.,Sebastes.sp,Fish,Fish
Sebastes sp.,Sebastes.sp,Fish,Fish
Unid Rockfish,Sebastes.sp,Fish,Fish
Unid. Rockfish,Sebastes.sp,Fish,Fish
Unidentified rockfish,Sebastes.sp,Fish,Fish
Sebastolobus sp.,Sebastolobus.sp,Fish,Fish
Sebastolobus sp. (Thornyhead),Sebastolobus.sp,Fish,Fish
SST,Sebastolobus.sp,Fish,Fish
Thornyhead,Sebastolobus.sp,Fish,Fish
Unid. Thornyhead,Sebastolobus.sp,Fish,Fish
Sharpchin rockfish,Sharpchin.rockfish,Fish,Fish
Sebastes borealis,Shortraker.rockfish,Fish,Fish
shortraker,Shortraker.rockfish,Fish,Fish
Shortraker rockfish,Shortraker.rockfish,Fish,Fish
Shortraker Rockfish,Shortraker.rockfish,Fish,Fish
Sebastolobus alascanus,Shortspine.thornyhead,Fish,Fish
Shortspine Thornyhead,Shortspine.thornyhead,Fish,Fish
Shortspine thornyhead,Shortspine.thornyhead,Fish,Fish
Shrimp Unid.,Shrimp.Unid,Shrimp,Shrimp
Silvergray Rockfish,Silvergray.Rockfish,Fish,Fish
Bathyraja sp. egg case,Skate.egg.case,Fish,Fish
Skate Egg Case,Skate.egg.case,Fish,Fish
Skate egg case,Skate.egg.case,Fish,Fish
Bathyraja sp.,Skate.unid,Fish,Fish
Raja sp.,Skate.unid,Fish,Fish
Rajidae,Skate.unid,Fish,Fish
Skate,Skate.unid,Fish,Fish
skate,Skate.unid,Fish,Fish
Skate sp.,Skate.unid,Fish,Fish
Skate unid,Skate.unid,Fish,Fish
skate unid,Skate.unid,Fish,Fish
skate unid - juvenile,Skate.unid,Fish,Fish
Skate unid.,Skate.unid,Fish,Fish
Unident. Skate,Skate.unid,Fish,Fish
Smelt,Smelt,Fish,Fish
Allocareproctus sp.,Snailfish.unid,Fish,Fish
Elassodiscus caudatus,Snailfish.unid,Fish,Fish
Liparidae,Snailfish.unid,Fish,Fish
Liparidae (snailfish unid),Snailfish.unid,Fish,Fish
Snailfish,Snailfish.unid,Fish,Fish
Snailfish unid,Snailfish.unid,Fish,Fish
